Run	Iteration	Algorithm	Best P[0]	Best P[1]	Best P[2]	Best P[3]	Best Fitness	Avg Fitness	Worst Fitness
3	100	FPA	25.2256	19.1534	37.9318	44.6044	6.6125	4.9821	3.9293
4	0	CSO	8.1686	83.0632	15.2055	45.8468	3.7367	2.8674	1.9469
4	25	CSO	97.9694	75.9457	1.3193	4.7816	5.8524	3.7407	2.8830
4	50	CSO	31.6767	80.9453	0.0000	0.0000	6.6319	4.0329	3.0408
4	75	CSO	30.8404	56.0265	5.7410	84.3212	6.6319	4.2574	3.0475
4	100	CSO	34.3294	95.7536	28.5251	92.3470	6.6319	4.3640	3.0475
4	0	FPA	5.3359	80.9333	17.9513	92.0804	4.0038	3.0453	2.3349
4	25	FPA	12.7040	87.6253	0.2733	0.0000	5.1285	3.5945	2.7103
4	50	FPA	21.7809	86.9570	0.3549	0.0000	6.0132	4.0302	3.1165
4	75	FPA	0.0000	73.0597	7.3437	100.0000	6.6941	4.5658	3.5012
4	100	FPA	0.0000	45.2621	0.0000	85.9906	6.6941	4.7161	3.7265
5	0	CSO	10.7970	50.4185	5.2694	73.3847	4.2116	3.0316	2.1912
5	25	CSO	88.3638	46.8814	0.0000	15.5142	5.1676	3.7268	2.7117
5	50	CSO	21.2472	73.3595	0.0000	0.0000	6.5735	4.1947	2.7117
5	75	CSO	27.5820	61.0286	14.9446	64.9323	6.7352	4.3996	3.0818
5	100	CSO	87.3953	79.9813	21.9216	56.5805	6.7352	4.4983	3.4179
5	0	FPA	71.3535	98.3667	0.0178	16.5536	4.0116	3.1041	2.1475
5	25	FPA	58.4174	100.0000	25.7981	0.0000	6.2444	4.1574	2.9918
5	50	FPA	100.0000	84.5557	100.0000	1.5278	6.2444	4.6522	3.3491
5	75	FPA	25.6293	100.0000	0.0000	0.0000	6.5460	4.9328	3.6068
5	100	FPA	14.8595	100.0000	0.0000	5.6965	6.5460	5.1076	3.8006
6	0	CSO	13.9444	23.0889	1.0160	57.4573	3.9639	2.9491	2.1355
6	25	CSO	100.0000	84.0377	43.3692	0.0000	5.2825	3.6797	2.8003
6	50	CSO	30.6832	93.7852	11.9742	0.0000	6.3839	4.1436	3.1710
6	75	CSO	80.0549	100.0000	0.0000	7.3813	6.7923	4.3360	3.4212
6	100	CSO	22.6141	81.3546	0.0000	4.0572	6.8631	4.5843	3.4212
6	0	FPA	26.4241	71.0083	6.1643	72.7319	3.9504	3.0345	2.1042
6	25	FPA	64.5684	84.1927	15.0791	74.8158	5.7814	3.7309	2.6022
6	50	FPA	72.1323	97.2112	50.0096	66.2272	5.9489	4.0857	2.9564
6	75	FPA	10.8127	84.7751	44.9803	13.8259	6.3866	4.6231	3.4309
6	100	FPA	42.4226	100.0000	0.0000	0.0000	6.8484	5.1106	3.8315
7	0	CSO	3.2578	45.3713	11.2400	88.2041	4.1394	3.1092	2.2630
7	25	CSO	74.1145	30.4612	0.0000	0.0000	6.5115	3.9534	2.6605
7	50	CSO	26.4761	76.2025	0.0000	0.0000	6.5422	4.3402	2.7502
7	75	CSO	19.2731	77.6433	0.0000	54.2194	6.6176	4.5211	2.9723
7	100	CSO	61.0718	100.0000	57.6176	32.6517	6.7630	4.8267	3.3677
7	0	FPA	13.2439	51.8892	5.3406	69.1673	4.1312	3.2310	2.4705
7	25	FPA	20.3508	47.8447	0.0000	0.0000	6.1861	3.8746	2.6844
7	50	FPA	48.1635	100.0000	55.0543	29.3053	6.6196	4.4316	2.7896
7	75	FPA	54.8608	95.6064	20.3628	0.0000	6.8520	4.7974	3.1374
7	100	FPA	0.0000	100.0000	39.3897	0.9363	6.8520	5.1549	3.1374
8	0	CSO	5.8501	91.8323	5.8118	57.2302	4.0625	3.0000	1.8156
8	25	CSO	26.2332	70.1162	17.3222	33.2358	6.5280	4.1953	2.7874
8	50	CSO	53.9489	42.1761	0.0000	3.8096	6.7267	4.4691	3.0435
8	75	CSO	0.0000	22.5435	58.0821	39.1978	6.7267	4.7480	3.5035
8	100	CSO	37.7126	84.3950	0.0000	0.0000	6.7966	5.0137	3.6918
8	0	FPA	8.2528	68.9821	16.3016	75.0257	3.8957	2.8981	1.9686
8	25	FPA	61.0315	96.5864	39.8278	51.6549	6.4588	3.9809	2.6495
8	50	FPA	25.5665	75.7293	11.2290	6.2412	6.5369	4.5573	3.0600
8	75	FPA	22.3655	36.3867	35.8544	12.0589	6.5369	4.6894	3.5164
8	100	FPA	28.1089	73.4250	66.7349	98.2825	6.5369	4.9889	3.5164
9	0	CSO	9.6826	17.4999	9.1768	65.5752	3.9738	3.0813	2.0159
9	25	CSO	21.2670	98.7478	0.0000	0.0000	6.7716	4.1090	2.6204
9	50	CSO	15.2696	69.4337	0.0000	9.2508	6.8269	4.6592	3.4887
9	75	CSO	17.1089	81.7975	1.9331	4.5303	6.8269	4.7574	3.7556
9	100	CSO	47.1112	68.6326	0.7156	0.0000	6.8584	4.9311	3.7556
9	0	FPA	34.4597	96.6552	3.2852	47.7680	3.8205	2.9670	2.0170
9	25	FPA	12.6565	45.9874	0.0000	0.0000	5.8286	3.8546	2.5356
9	50	FPA	33.7940	100.0000	0.0000	0.0000	6.8623	4.3036	3.0979
9	75	FPA	37.7663	100.0000	24.5711	25.9732	6.8623	4.6182	3.5093
9	100	FPA	31.1595	95.5590	24.7184	0.4656	6.8623	4.9495	3.5229
10	0	CSO	0.4153	99.9384	28.9857	95.5146	3.8807	2.9487	2.0070
10	25	CSO	9.8455	44.2254	0.0000	44.4540	4.3280	3.6566	2.7364
10	50	CSO	30.0758	78.2317	0.0000	73.7968	6.5107	3.9803	3.0643
10	75	CSO	24.3912	89.5187	0.0000	0.0000	6.5109	4.3946	3.0643
10	100	CSO	99.8951	94.4096	0.0000	0.0000	6.6323	4.6536	3.4008
10	0	FPA	61.2102	97.4694	13.1191	92.9776	3.6813	3.0359	1.9285
10	25	FPA	0.0000	99.0536	72.7480	82.9897	5.6601	3.8876	2.9759
10	50	FPA	92.4130	73.0043	0.0000	0.0000	6.0057	4.1871	2.9759
10	75	FPA	76.1849	85.2014	33.9165	0.0000	6.5948	4.5703	3.3474
10	100	FPA	46.0560	53.0910	0.6767	0.0000	6.5948	4.6253	3.4870
